race,driver,quali_pos
Circuit of the Americas,George Russell,20
Circuit of the Americas,Pierre Gasly,8
Circuit of the Americas,Nikita Mazepin,17
Circuit of the Americas,Mick Schumacher,16
Circuit of the Americas,Antonio Giovinazzi,12
Circuit of the Americas,Kimi Räikkönen,15
Circuit of the Americas,Lance Stroll,13
Circuit of the Americas,Sebastian Vettel,18
Circuit of the Americas,Max Verstappen,1
Circuit of the Americas,Sergio Pérez,3
Circuit of the Americas,Yuki Tsunoda,10
Circuit of the Americas,Lewis Hamilton,2
Circuit of the Americas,Esteban Ocon,11
Circuit of the Americas,Fernando Alonso,19
Circuit of the Americas,Charles Leclerc,4
Circuit of the Americas,Carlos Sainz,5
Circuit of the Americas,Lando Norris,7
Circuit of the Americas,Daniel Ricciardo,6
Circuit of the Americas,Nicholas Latifi,14
Circuit of the Americas,Valtteri Bottas,9
